epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,190.591,3.56293,60.3085,2.10044,0,0,0,0,3.81417,30.2875,1.60437,0.0002416,0.0002416,0.0002416
22,200.326,2.16202,19.6681,1.57183,0,0,0,0,3.93052,30.3912,1.67596,0.000245364,0.000245364,0.000245364
23,210.848,1.61221,15.4761,1.37777,0,0,0,0,3.89282,30.3726,1.67377,0.000248336,0.000248336,0.000248336
24,219.909,2.25662,29.6326,2.11165,0,0,0,0,4.30368,30.5724,1.89254,0.000250516,0.000250516,0.000250516
25,227.773,1.51793,25.3729,1.4193,0,0,0,0,4.16114,30.4706,1.84116,0.000251904,0.000251904,0.000251904
26,237.454,2.28825,21.7938,1.4415,0,0,0,0,4.16799,30.4625,1.86879,0.0002525,0.0002525,0.0002525
27,245.468,1.73074,17.1682,1.22548,0,0,0,0,4.12262,30.422,1.87164,0.000252304,0.000252304,0.000252304
28,253.855,3.06553,22.7698,2.11439,0,0,0,0,3.73549,30.2286,1.67745,0.000251316,0.000251316,0.000251316
29,262.404,1.98907,18.7954,1.44074,0,0,0,0,3.48984,30.1125,1.54509,0.000249536,0.000249536,0.000249536
30,270.481,3.28705,22.1625,2.64342,0,0,0,0,3.24347,29.9978,1.39507,0.000246964,0.000246964,0.000246964
31,279.384,2.04106,25.2587,1.38303,0,0,0,0,3.36294,30.1211,1.43745,0.0002436,0.0002436,0.0002436
32,287.789,2.61048,19.4819,1.61226,0,0,0,0,3.23241,30.0257,1.36942,0.000239444,0.000239444,0.000239444
33,296.447,2.58716,17.9555,1.71507,0,0,0,0,3.39491,30.1063,1.43229,0.000234496,0.000234496,0.000234496
34,305.044,1.83012,15.8027,1.28734,0,0,0,0,4.05281,30.4696,1.72373,0.000228756,0.000228756,0.000228756
35,313.678,2.09834,26.4265,1.28562,0,0,0,0,4.70725,30.8214,2.04348,0.000222224,0.000222224,0.000222224
36,325.577,1.35157,18.9345,1.38351,0,0,0,0,3.87572,30.3235,1.73554,0.0002149,0.0002149,0.0002149
37,335.159,1.72414,12.9808,1.33644,0,0,0,0,3.6083,30.1532,1.64685,0.000206784,0.000206784,0.000206784
